"Page","Impressions","Clicks","CTR","Avg. Position"
"https://www.playmagpie.com/reviews/cloudbet","388","6","1.55%","6.891752319587627"
"https://www.playmagpie.com/guides/why-is-my-crypto-casino-withdrawal-pending","250","3","1.2%","6.7879868"
"https://www.playmagpie.com/guides/how-crypto-casino-withdrawals-work","39","1","2.56%","5.948717948717949"
"https://www.playmagpie.com/country/australia","27","0","0%","8.259244444444445"
"https://www.playmagpie.com/reviews/roobet","23","1","4.3500000000000005%","6.347821739130435"
"https://www.playmagpie.com/country/germany","22","0","0%","8.045454545454545"
"https://www.playmagpie.com/high-roller-casinos","21","0","0%","8.142861904761904"
"https://www.playmagpie.com/reviews/bc-game/kyc","17","0","0%","4.705888235294118"
"https://www.playmagpie.com/reviews/cloudbet/kyc","16","0","0%","3.875"
"https://www.playmagpie.com/reviews/bc-game","6","0","0%","3.5"
"https://www.playmagpie.com/reviews/bitstarz","6","0","0%","7.166666666666667"
"https://www.playmagpie.com/reviews/bitstarz/payment-methods","5","0","0%","4.4"
"https://www.playmagpie.com/bonus/no-deposit-bonus","4","0","0%","5.5"
"https://www.playmagpie.com/reviews/bitstarz/kyc","4","0","0%","4"
"https://www.playmagpie.com/reviews/duelbits","4","0","0%","3.75"
"https://www.playmagpie.com/country","3","0","0%","2"
"https://www.playmagpie.com/guides","2","0","0%","10"
"https://www.playmagpie.com/country/japan","2","1","50%","2"
"https://www.playmagpie.com/reviews/mirax-casino","1","0","0%","10"
"https://www.playmagpie.com/reviews/shuffle","1","0","0%","10"
"https://www.playmagpie.com/no-kyc-casinos","1","0","0%","10"
"https://www.playmagpie.com/guides/bitcoin-vs-usdt-casinos","1","0","0%","5"
